mic0_pos_x,mic0_pos_y,mic0_pos_z,mic1_pos_x,mic1_pos_y,mic1_pos_z,mic2_pos_x,mic2_pos_y,mic2_pos_z,mic3_pos_x,mic3_pos_y,mic3_pos_z,mic4_pos_x,mic4_pos_y,mic4_pos_z,mic5_pos_x,mic5_pos_y,mic5_pos_z,mic6_pos_x,mic6_pos_y,mic6_pos_z,mic7_pos_x,mic7_pos_y,mic7_pos_z,config_id,fs_hz,room_dim_x,room_dim_y,room_dim_z,rt60_target_s,is_anechoic,source_pos_x,source_pos_y,source_pos_z,array_center_x_config,array_center_y_config,array_center_z_config,array_center_x_actual,array_center_y_actual,array_center_z_actual,array_orientation_axis,actual_dist_src_to_array_center_m,actual_azimuth_src_to_array_center_deg,angle_deg,actual_elevation_src_to_array_center_deg,num_mics_configured,num_mics_processed,mic_separation_m,rir_file_basename,azimuth_deg,elevation_deg,snr_db,tdoa_method,mic_pair,tdoa_method_for_avg_doa,doa_array_estimated_deg,doa_array_real_deg,doa_array_error_deg,doa_estimated_from_pair_deg,tdoa_val,d_pair,real_tdoa,doa_real_deg
2.15,2.5,2.5,2.25,2.5,2.5,2.35,2.5,2.5,2.45,2.5,2.5,2.55,2.5,2.5,2.65,2.5,2.5,2.75,2.5,2.5,2.85,2.5,2.5,room10x10x10_rt60_2.8_mics_8_az_0_el_0,48000,10.0,10.0,10.0,2.8,,4.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,x,2.0,0.0,180,0.0,8,8,0.1,rir_room10x10x10_rt60_2.8_mics_8_az_0_el_0,180,,40,,array_avg_adj_pairs,scot,154.28571428571428,0.0,154.28571428571428,,,,,
2.15,2.5,2.5,2.25,2.5,2.5,2.35,2.5,2.5,2.45,2.5,2.5,2.55,2.5,2.5,2.65,2.5,2.5,2.75,2.5,2.5,2.85,2.5,2.5,room10x10x10_rt60_2.8_mics_8_az_0_el_0,48000,10.0,10.0,10.0,2.8,,4.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,x,2.0,0.0,180,0.0,8,8,0.1,rir_room10x10x10_rt60_2.8_mics_8_az_0_el_0,180,,40,,array_avg_adj_pairs,ml,154.28571428571428,0.0,154.28571428571428,,,,,
2.15,2.5,2.5,2.25,2.5,2.5,2.35,2.5,2.5,2.45,2.5,2.5,2.55,2.5,2.5,2.65,2.5,2.5,2.75,2.5,2.5,2.85,2.5,2.5,room10x10x10_rt60_2.8_mics_8_az_0_el_0,48000,10.0,10.0,10.0,2.8,,4.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,x,2.0,0.0,180,0.0,8,8,0.1,rir_room10x10x10_rt60_2.8_mics_8_az_0_el_0,180,,40,,array_avg_adj_pairs,roth,128.57142857142858,0.0,128.57142857142858,,,,,
2.15,2.5,2.5,2.25,2.5,2.5,2.35,2.5,2.5,2.45,2.5,2.5,2.55,2.5,2.5,2.65,2.5,2.5,2.75,2.5,2.5,2.85,2.5,2.5,room10x10x10_rt60_2.8_mics_8_az_0_el_15,48000,10.0,10.0,10.0,2.8,,4.431851652578136,2.5,3.0176380902050415,2.5,2.5,2.5,2.5,2.5,2.5,x,2.0,0.0,180,15.0,8,8,0.1,rir_room10x10x10_rt60_2.8_mics_8_az_0_el_15,180,,40,,array_avg_adj_pairs,cc,75.19444916780321,0.0,75.19444916780321,,,,,
2.15,2.5,2.5,2.25,2.5,2.5,2.35,2.5,2.5,2.45,2.5,2.5,2.55,2.5,2.5,2.65,2.5,2.5,2.75,2.5,2.5,2.85,2.5,2.5,room10x10x10_rt60_2.8_mics_8_az_0_el_15,48000,10.0,10.0,10.0,2.8,,4.431851652578136,2.5,3.0176380902050415,2.5,2.5,2.5,2.5,2.5,2.5,x,2.0,0.0,180,15.0,8,8,0.1,rir_room10x10x10_rt60_2.8_mics_8_az_0_el_15,180,,40,,array_avg_adj_pairs,phat,180.0,0.0,180.0,,,,,
2.15,2.5,2.5,2.25,2.5,2.5,2.35,2.5,2.5,2.45,2.5,2.5,2.55,2.5,2.5,2.65,2.5,2.5,2.75,2.5,2.5,2.85,2.5,2.5,room10x10x10_rt60_2.8_mics_8_az_0_el_15,48000,10.0,10.0,10.0,2.8,,4.431851652578136,2.5,3.0176380902050415,2.5,2.5,2.5,2.5,2.5,2.5,x,2.0,0.0,180,15.0,8,8,0.1,rir_room10x10x10_rt60_2.8_mics_8_az_0_el_15,180,,40,,array_avg_adj_pairs,scot,180.0,0.0,180.0,,,,,
2.15,2.5,2.5,2.25,2.5,2.5,2.35,2.5,2.5,2.45,2.5,2.5,2.55,2.5,2.5,2.65,2.5,2.5,2.75,2.5,2.5,2.85,2.5,2.5,room10x10x10_rt60_2.8_mics_8_az_0_el_15,48000,10.0,10.0,10.0,2.8,,4.431851652578136,2.5,3.0176380902050415,2.5,2.5,2.5,2.5,2.5,2.5,x,2.0,0.0,180,15.0,8,8,0.1,rir_room10x10x10_rt60_2.8_mics_8_az_0_el_15,180,,40,,array_avg_adj_pairs,ml,180.0,0.0,180.0,,,,,
2.15,2.5,2.5,2.25,2.5,2.5,2.35,2.5,2.5,2.45,2.5,2.5,2.55,2.5,2.5,2.65,2.5,2.5,2.75,2.5,2.5,2.85,2.5,2.5,room10x10x10_rt60_2.8_mics_8_az_0_el_15,48000,10.0,10.0,10.0,2.8,,4.431851652578136,2.5,3.0176380902050415,2.5,2.5,2.5,2.5,2.5,2.5,x,2.0,0.0,180,15.0,8,8,0.1,rir_room10x10x10_rt60_2.8_mics_8_az_0_el_15,180,,40,,array_avg_adj_pairs,roth,180.0,0.0,180.0,,,,,
2.15,2.5,2.5,2.25,2.5,2.5,2.35,2.5,2.5,2.45,2.5,2.5,2.55,2.5,2.5,2.65,2.5,2.5,2.75,2.5,2.5,2.85,2.5,2.5,room10x10x10_rt60_2.8_mics_8_az_45_el_0,48000,10.0,10.0,10.0,2.8,,3.914213562373095,3.914213562373095,2.5,2.5,2.5,2.5,2.5,2.5,2.5,x,2.0,45.0,180,0.0,8,8,0.1,rir_room10x10x10_rt60_2.8_mics_8_az_45_el_0,180,,40,,array_avg_adj_pairs,cc,78.79449609664032,45.0,33.794496096640316,,,,,
2.15,2.5,2.5,2.25,2.5,2.5,2.35,2.5,2.5,2.45,2.5,2.5,2.55,2.5,2.5,2.65,2.5,2.5,2.75,2.5,2.5,2.85,2.5,2.5,room10x10x10_rt60_2.8_mics_8_az_45_el_0,48000,10.0,10.0,10.0,2.8,,3.914213562373095,3.914213562373095,2.5,2.5,2.5,2.5,2.5,2.5,2.5,x,2.0,45.0,180,0.0,8,8,0.1,rir_room10x10x10_rt60_2.8_mics_8_az_45_el_0,180,,40,,array_avg_adj_pairs,phat,180.0,45.0,135.0,,,,,
2.15,2.5,2.5,2.25,2.5,2.5,2.35,2.5,2.5,2.45,2.5,2.5,2.55,2.5,2.5,2.65,2.5,2.5,2.75,2.5,2.5,2.85,2.5,2.5,room10x10x10_rt60_2.8_mics_8_az_45_el_0,48000,10.0,10.0,10.0,2.8,,3.914213562373095,3.914213562373095,2.5,2.5,2.5,2.5,2.5,2.5,2.5,x,2.0,45.0,180,0.0,8,8,0.1,rir_room10x10x10_rt60_2.8_mics_8_az_45_el_0,180,,40,,array_avg_adj_pairs,scot,180.0,45.0,135.0,,,,,
2.15,2.5,2.5,2.25,2.5,2.5,2.35,2.5,2.5,2.45,2.5,2.5,2.55,2.5,2.5,2.65,2.5,2.5,2.75,2.5,2.5,2.85,2.5,2.5,room10x10x10_rt60_2.8_mics_8_az_45_el_0,48000,10.0,10.0,10.0,2.8,,3.914213562373095,3.914213562373095,2.5,2.5,2.5,2.5,2.5,2.5,2.5,x,2.0,45.0,180,0.0,8,8,0.1,rir_room10x10x10_rt60_2.8_mics_8_az_45_el_0,180,,40,,array_avg_adj_pairs,ml,180.0,45.0,135.0,,,,,
2.15,2.5,2.5,2.25,2.5,2.5,2.35,2.5,2.5,2.45,2.5,2.5,2.55,2.5,2.5,2.65,2.5,2.5,2.75,2.5,2.5,2.85,2.5,2.5,room10x10x10_rt60_2.8_mics_8_az_45_el_0,48000,10.0,10.0,10.0,2.8,,3.914213562373095,3.914213562373095,2.5,2.5,2.5,2.5,2.5,2.5,2.5,x,2.0,45.0,180,0.0,8,8,0.1,rir_room10x10x10_rt60_2.8_mics_8_az_45_el_0,180,,40,,array_avg_adj_pairs,roth,180.0,45.0,135.0,,,,,
2.15,2.5,2.5,2.25,2.5,2.5,2.35,2.5,2.5,2.45,2.5,2.5,2.55,2.5,2.5,2.65,2.5,2.5,2.75,2.5,2.5,2.85,2.5,2.5,room10x10x10_rt60_2.8_mics_8_az_45_el_15,48000,10.0,10.0,10.0,2.8,,3.866025403784439,3.8660254037844384,3.0176380902050415,2.5,2.5,2.5,2.5,2.5,2.5,x,2.0,45.0,180,15.0,8,8,0.1,rir_room10x10x10_rt60_2.8_mics_8_az_45_el_15,180,,40,,array_avg_adj_pairs,cc,75.18080792825693,45.0,30.180807928256925,,,,,
2.15,2.5,2.5,2.25,2.5,2.5,2.35,2.5,2.5,2.45,2.5,2.5,2.55,2.5,2.5,2.65,2.5,2.5,2.75,2.5,2.5,2.85,2.5,2.5,room10x10x10_rt60_2.8_mics_8_az_45_el_15,48000,10.0,10.0,10.0,2.8,,3.866025403784439,3.8660254037844384,3.0176380902050415,2.5,2.5,2.5,2.5,2.5,2.5,x,2.0,45.0,180,15.0,8,8,0.1,rir_room10x10x10_rt60_2.8_mics_8_az_45_el_15,180,,40,,array_avg_adj_pairs,phat,180.0,45.0,135.0,,,,,
2.15,2.5,2.5,2.25,2.5,2.5,2.35,2.5,2.5,2.45,2.5,2.5,2.55,2.5,2.5,2.65,2.5,2.5,2.75,2.5,2.5,2.85,2.5,2.5,room10x10x10_rt60_2.8_mics_8_az_45_el_15,48000,10.0,10.0,10.0,2.8,,3.866025403784439,3.8660254037844384,3.0176380902050415,2.5,2.5,2.5,2.5,2.5,2.5,x,2.0,45.0,180,15.0,8,8,0.1,rir_room10x10x10_rt60_2.8_mics_8_az_45_el_15,180,,40,,array_avg_adj_pairs,scot,180.0,45.0,135.0,,,,,
2.15,2.5,2.5,2.25,2.5,2.5,2.35,2.5,2.5,2.45,2.5,2.5,2.55,2.5,2.5,2.65,2.5,2.5,2.75,2.5,2.5,2.85,2.5,2.5,room10x10x10_rt60_2.8_mics_8_az_45_el_15,48000,10.0,10.0,10.0,2.8,,3.866025403784439,3.8660254037844384,3.0176380902050415,2.5,2.5,2.5,2.5,2.5,2.5,x,2.0,45.0,180,15.0,8,8,0.1,rir_room10x10x10_rt60_2.8_mics_8_az_45_el_15,180,,40,,array_avg_adj_pairs,ml,180.0,45.0,135.0,,,,,
2.15,2.5,2.5,2.25,2.5,2.5,2.35,2.5,2.5,2.45,2.5,2.5,2.55,2.5,2.5,2.65,2.5,2.5,2.75,2.5,2.5,2.85,2.5,2.5,room10x10x10_rt60_2.8_mics_8_az_45_el_15,48000,10.0,10.0,10.0,2.8,,3.866025403784439,3.8660254037844384,3.0176380902050415,2.5,2.5,2.5,2.5,2.5,2.5,x,2.0,45.0,180,15.0,8,8,0.1,rir_room10x10x10_rt60_2.8_mics_8_az_45_el_15,180,,40,,array_avg_adj_pairs,roth,180.0,45.0,135.0,,,,,
2.15,2.5,2.5,2.25,2.5,2.5,2.35,2.5,2.5,2.45,2.5,2.5,2.55,2.5,2.5,2.65,2.5,2.5,2.75,2.5,2.5,2.85,2.5,2.5,room10x10x10_rt60_2.8_mics_8_az_90_el_0,48000,10.0,10.0,10.0,2.8,,2.5,4.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,x,2.0,90.0,180,0.0,8,8,0.1,rir_room10x10x10_rt60_2.8_mics_8_az_90_el_0,180,,40,,array_avg_adj_pairs,cc,91.17380807461322,90.0,1.1738080746132198,,,,,
2.15,2.5,2.5,2.25,2.5,2.5,2.35,2.5,2.5,2.45,2.5,2.5,2.55,2.5,2.5,2.65,2.5,2.5,2.75,2.5,2.5,2.85,2.5,2.5,room10x10x10_rt60_2.8_mics_8_az_90_el_0,48000,10.0,10.0,10.0,2.8,,2.5,4.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,x,2.0,90.0,180,0.0,8,8,0.1,rir_room10x10x10_rt60_2.8_mics_8_az_90_el_0,180,,40,,array_avg_adj_pairs,phat,102.85714285714286,90.0,12.857142857142861,,,,,
2.15,2.5,2.5,2.25,2.5,2.5,2.35,2.5,2.5,2.45,2.5,2.5,2.55,2.5,2.5,2.65,2.5,2.5,2.75,2.5,2.5,2.85,2.5,2.5,room10x10x10_rt60_2.8_mics_8_az_90_el_0,48000,10.0,10.0,10.0,2.8,,2.5,4.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,x,2.0,90.0,180,0.0,8,8,0.1,rir_room10x10x10_rt60_2.8_mics_8_az_90_el_0,180,,40,,array_avg_adj_pairs,scot,102.85714285714286,90.0,12.857142857142861,,,,,
2.15,2.5,2.5,2.25,2.5,2.5,2.35,2.5,2.5,2.45,2.5,2.5,2.55,2.5,2.5,2.65,2.5,2.5,2.75,2.5,2.5,2.85,2.5,2.5,room10x10x10_rt60_2.8_mics_8_az_90_el_0,48000,10.0,10.0,10.0,2.8,,2.5,4.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,x,2.0,90.0,180,0.0,8,8,0.1,rir_room10x10x10_rt60_2.8_mics_8_az_90_el_0,180,,40,,array_avg_adj_pairs,ml,102.85714285714286,90.0,12.857142857142861,,,,,
2.15,2.5,2.5,2.25,2.5,2.5,2.35,2.5,2.5,2.45,2.5,2.5,2.55,2.5,2.5,2.65,2.5,2.5,2.75,2.5,2.5,2.85,2.5,2.5,room10x10x10_rt60_2.8_mics_8_az_90_el_0,48000,10.0,10.0,10.0,2.8,,2.5,4.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,x,2.0,90.0,180,0.0,8,8,0.1,rir_room10x10x10_rt60_2.8_mics_8_az_90_el_0,180,,40,,array_avg_adj_pairs,roth,102.85714285714286,90.0,12.857142857142861,,,,,
2.15,2.5,2.5,2.25,2.5,2.5,2.35,2.5,2.5,2.45,2.5,2.5,2.55,2.5,2.5,2.65,2.5,2.5,2.75,2.5,2.5,2.85,2.5,2.5,room10x10x10_rt60_2.8_mics_8_az_90_el_15,48000,10.0,10.0,10.0,2.8,,2.5,4.431851652578136,3.0176380902050415,2.5,2.5,2.5,2.5,2.5,2.5,x,2.0,90.0,180,15.0,8,8,0.1,rir_room10x10x10_rt60_2.8_mics_8_az_90_el_15,180,,40,,array_avg_adj_pairs,cc,91.75920141151457,90.0,1.7592014115145673,,,,,
2.15,2.5,2.5,2.25,2.5,2.5,2.35,2.5,2.5,2.45,2.5,2.5,2.55,2.5,2.5,2.65,2.5,2.5,2.75,2.5,2.5,2.85,2.5,2.5,room10x10x10_rt60_2.8_mics_8_az_90_el_15,48000,10.0,10.0,10.0,2.8,,2.5,4.431851652578136,3.0176380902050415,2.5,2.5,2.5,2.5,2.5,2.5,x,2.0,90.0,180,15.0,8,8,0.1,rir_room10x10x10_rt60_2.8_mics_8_az_90_el_15,180,,40,,array_avg_adj_pairs,phat,102.85714285714286,90.0,12.857142857142861,,,,,
2.15,2.5,2.5,2.25,2.5,2.5,2.35,2.5,2.5,2.45,2.5,2.5,2.55,2.5,2.5,2.65,2.5,2.5,2.75,2.5,2.5,2.85,2.5,2.5,room10x10x10_rt60_2.8_mics_8_az_90_el_15,48000,10.0,10.0,10.0,2.8,,2.5,4.431851652578136,3.0176380902050415,2.5,2.5,2.5,2.5,2.5,2.5,x,2.0,90.0,180,15.0,8,8,0.1,rir_room10x10x10_rt60_2.8_mics_8_az_90_el_15,180,,40,,array_avg_adj_pairs,scot,102.85714285714286,90.0,12.857142857142861,,,,,
2.15,2.5,2.5,2.25,2.5,2.5,2.35,2.5,2.5,2.45,2.5,2.5,2.55,2.5,2.5,2.65,2.5,2.5,2.75,2.5,2.5,2.85,2.5,2.5,room10x10x10_rt60_2.8_mics_8_az_90_el_15,48000,10.0,10.0,10.0,2.8,,2.5,4.431851652578136,3.0176380902050415,2.5,2.5,2.5,2.5,2.5,2.5,x,2.0,90.0,180,15.0,8,8,0.1,rir_room10x10x10_rt60_2.8_mics_8_az_90_el_15,180,,40,,array_avg_adj_pairs,ml,102.85714285714286,90.0,12.857142857142861,,,,,
2.15,2.5,2.5,2.25,2.5,2.5,2.35,2.5,2.5,2.45,2.5,2.5,2.55,2.5,2.5,2.65,2.5,2.5,2.75,2.5,2.5,2.85,2.5,2.5,room10x10x10_rt60_2.8_mics_8_az_90_el_15,48000,10.0,10.0,10.0,2.8,,2.5,4.431851652578136,3.0176380902050415,2.5,2.5,2.5,2.5,2.5,2.5,x,2.0,90.0,180,15.0,8,8,0.1,rir_room10x10x10_rt60_2.8_mics_8_az_90_el_15,180,,40,,array_avg_adj_pairs,roth,102.85714285714286,90.0,12.857142857142861,,,,,
2.15,2.5,2.5,2.25,2.5,2.5,2.35,2.5,2.5,2.45,2.5,2.5,2.55,2.5,2.5,2.65,2.5,2.5,2.75,2.5,2.5,2.85,2.5,2.5,room10x10x10_rt60_2.8_mics_8_az_135_el_0,48000,10.0,10.0,10.0,2.8,,1.085786437626905,3.914213562373095,2.5,2.5,2.5,2.5,2.5,2.5,2.5,x,2.0,135.0,180,0.0,8,8,0.1,rir_room10x10x10_rt60_2.8_mics_8_az_135_el_0,180,,40,,array_avg_adj_pairs,cc,105.41379292879522,135.0,-29.586207071204782,,,,,
2.15,2.5,2.5,2.25,2.5,2.5,2.35,2.5,2.5,2.45,2.5,2.5,2.55,2.5,2.5,2.65,2.5,2.5,2.75,2.5,2.5,2.85,2.5,2.5,room10x10x10_rt60_2.8_mics_8_az_135_el_0,48000,10.0,10.0,10.0,2.8,,1.085786437626905,3.914213562373095,2.5,2.5,2.5,2.5,2.5,2.5,2.5,x,2.0,135.0,180,0.0,8,8,0.1,rir_room10x10x10_rt60_2.8_mics_8_az_135_el_0,180,,40,,array_avg_adj_pairs,phat,0.0,135.0,-135.0,,,,,
2.15,2.5,2.5,2.25,2.5,2.5,2.35,2.5,2.5,2.45,2.5,2.5,2.55,2.5,2.5,2.65,2.5,2.5,2.75,2.5,2.5,2.85,2.5,2.5,room10x10x10_rt60_2.8_mics_8_az_135_el_0,48000,10.0,10.0,10.0,2.8,,1.085786437626905,3.914213562373095,2.5,2.5,2.5,2.5,2.5,2.5,2.5,x,2.0,135.0,180,0.0,8,8,0.1,rir_room10x10x10_rt60_2.8_mics_8_az_135_el_0,180,,40,,array_avg_adj_pairs,scot,0.0,135.0,-135.0,,,,,
2.15,2.5,2.5,2.25,2.5,2.5,2.35,2.5,2.5,2.45,2.5,2.5,2.55,2.5,2.5,2.65,2.5,2.5,2.75,2.5,2.5,2.85,2.5,2.5,room10x10x10_rt60_2.8_mics_8_az_135_el_0,48000,10.0,10.0,10.0,2.8,,1.085786437626905,3.914213562373095,2.5,2.5,2.5,2.5,2.5,2.5,2.5,x,2.0,135.0,180,0.0,8,8,0.1,rir_room10x10x10_rt60_2.8_mics_8_az_135_el_0,180,,40,,array_avg_adj_pairs,ml,0.0,135.0,-135.0,,,,,
2.15,2.5,2.5,2.25,2.5,2.5,2.35,2.5,2.5,2.45,2.5,2.5,2.55,2.5,2.5,2.65,2.5,2.5,2.75,2.5,2.5,2.85,2.5,2.5,room10x10x10_rt60_2.8_mics_8_az_135_el_0,48000,10.0,10.0,10.0,2.8,,1.085786437626905,3.914213562373095,2.5,2.5,2.5,2.5,2.5,2.5,2.5,x,2.0,135.0,180,0.0,8,8,0.1,rir_room10x10x10_rt60_2.8_mics_8_az_135_el_0,180,,40,,array_avg_adj_pairs,roth,0.0,135.0,-135.0,,,,,
2.15,2.5,2.5,2.25,2.5,2.5,2.35,2.5,2.5,2.45,2.5,2.5,2.55,2.5,2.5,2.65,2.5,2.5,2.75,2.5,2.5,2.85,2.5,2.5,room10x10x10_rt60_2.8_mics_8_az_135_el_15,48000,10.0,10.0,10.0,2.8,,1.1339745962155614,3.866025403784439,3.0176380902050415,2.5,2.5,2.5,2.5,2.5,2.5,x,2.0,135.0,180,15.0,8,8,0.1,rir_room10x10x10_rt60_2.8_mics_8_az_135_el_15,180,,40,,array_avg_adj_pairs,cc,111.01370944470945,135.0,-23.98629055529055,,,,,
2.15,2.5,2.5,2.25,2.5,2.5,2.35,2.5,2.5,2.45,2.5,2.5,2.55,2.5,2.5,2.65,2.5,2.5,2.75,2.5,2.5,2.85,2.5,2.5,room10x10x10_rt60_2.8_mics_8_az_135_el_15,48000,10.0,10.0,10.0,2.8,,1.1339745962155614,3.866025403784439,3.0176380902050415,2.5,2.5,2.5,2.5,2.5,2.5,x,2.0,135.0,180,15.0,8,8,0.1,rir_room10x10x10_rt60_2.8_mics_8_az_135_el_15,180,,40,,array_avg_adj_pairs,phat,0.0,135.0,-135.0,,,,,
2.15,2.5,2.5,2.25,2.5,2.5,2.35,2.5,2.5,2.45,2.5,2.5,2.55,2.5,2.5,2.65,2.5,2.5,2.75,2.5,2.5,2.85,2.5,2.5,room10x10x10_rt60_2.8_mics_8_az_135_el_15,48000,10.0,10.0,10.0,2.8,,1.1339745962155614,3.866025403784439,3.0176380902050415,2.5,2.5,2.5,2.5,2.5,2.5,x,2.0,135.0,180,15.0,8,8,0.1,rir_room10x10x10_rt60_2.8_mics_8_az_135_el_15,180,,40,,array_avg_adj_pairs,scot,0.0,135.0,-135.0,,,,,
2.15,2.5,2.5,2.25,2.5,2.5,2.35,2.5,2.5,2.45,2.5,2.5,2.55,2.5,2.5,2.65,2.5,2.5,2.75,2.5,2.5,2.85,2.5,2.5,room10x10x10_rt60_2.8_mics_8_az_135_el_15,48000,10.0,10.0,10.0,2.8,,1.1339745962155614,3.866025403784439,3.0176380902050415,2.5,2.5,2.5,2.5,2.5,2.5,x,2.0,135.0,180,15.0,8,8,0.1,rir_room10x10x10_rt60_2.8_mics_8_az_135_el_15,180,,40,,array_avg_adj_pairs,ml,0.0,135.0,-135.0,,,,,
2.15,2.5,2.5,2.25,2.5,2.5,2.35,2.5,2.5,2.45,2.5,2.5,2.55,2.5,2.5,2.65,2.5,2.5,2.75,2.5,2.5,2.85,2.5,2.5,room10x10x10_rt60_2.8_mics_8_az_135_el_15,48000,10.0,10.0,10.0,2.8,,1.1339745962155614,3.866025403784439,3.0176380902050415,2.5,2.5,2.5,2.5,2.5,2.5,x,2.0,135.0,180,15.0,8,8,0.1,rir_room10x10x10_rt60_2.8_mics_8_az_135_el_15,180,,40,,array_avg_adj_pairs,roth,0.0,135.0,-135.0,,,,,
2.15,2.5,2.5,2.25,2.5,2.5,2.35,2.5,2.5,2.45,2.5,2.5,2.55,2.5,2.5,2.65,2.5,2.5,2.75,2.5,2.5,2.85,2.5,2.5,room10x10x10_rt60_2.8_mics_8_az_180_el_0,48000,10.0,10.0,10.0,2.8,,0.5,2.5000000000000004,2.5,2.5,2.5,2.5,2.5,2.5,2.5,x,2.0,180.0,180,0.0,8,8,0.1,rir_room10x10x10_rt60_2.8_mics_8_az_180_el_0,180,,40,,array_avg_adj_pairs,cc,100.01630218925537,180.0,-79.98369781074463,,,,,
2.15,2.5,2.5,2.25,2.5,2.5,2.35,2.5,2.5,2.45,2.5,2.5,2.55,2.5,2.5,2.65,2.5,2.5,2.75,2.5,2.5,2.85,2.5,2.5,room10x10x10_rt60_2.8_mics_8_az_180_el_0,48000,10.0,10.0,10.0,2.8,,0.5,2.5000000000000004,2.5,2.5,2.5,2.5,2.5,2.5,2.5,x,2.0,180.0,180,0.0,8,8,0.1,rir_room10x10x10_rt60_2.8_mics_8_az_180_el_0,180,,40,,array_avg_adj_pairs,phat,0.0,180.0,-180.0,,,,,
2.15,2.5,2.5,2.25,2.5,2.5,2.35,2.5,2.5,2.45,2.5,2.5,2.55,2.5,2.5,2.65,2.5,2.5,2.75,2.5,2.5,2.85,2.5,2.5,room10x10x10_rt60_2.8_mics_8_az_180_el_0,48000,10.0,10.0,10.0,2.8,,0.5,2.5000000000000004,2.5,2.5,2.5,2.5,2.5,2.5,2.5,x,2.0,180.0,180,0.0,8,8,0.1,rir_room10x10x10_rt60_2.8_mics_8_az_180_el_0,180,,40,,array_avg_adj_pairs,scot,0.0,180.0,-180.0,,,,,
2.15,2.5,2.5,2.25,2.5,2.5,2.35,2.5,2.5,2.45,2.5,2.5,2.55,2.5,2.5,2.65,2.5,2.5,2.75,2.5,2.5,2.85,2.5,2.5,room10x10x10_rt60_2.8_mics_8_az_180_el_0,48000,10.0,10.0,10.0,2.8,,0.5,2.5000000000000004,2.5,2.5,2.5,2.5,2.5,2.5,2.5,x,2.0,180.0,180,0.0,8,8,0.1,rir_room10x10x10_rt60_2.8_mics_8_az_180_el_0,180,,40,,array_avg_adj_pairs,ml,0.0,180.0,-180.0,,,,,
2.15,2.5,2.5,2.25,2.5,2.5,2.35,2.5,2.5,2.45,2.5,2.5,2.55,2.5,2.5,2.65,2.5,2.5,2.75,2.5,2.5,2.85,2.5,2.5,room10x10x10_rt60_2.8_mics_8_az_180_el_0,48000,10.0,10.0,10.0,2.8,,0.5,2.5000000000000004,2.5,2.5,2.5,2.5,2.5,2.5,2.5,x,2.0,180.0,180,0.0,8,8,0.1,rir_room10x10x10_rt60_2.8_mics_8_az_180_el_0,180,,40,,array_avg_adj_pairs,roth,0.0,180.0,-180.0,,,,,
2.15,2.5,2.5,2.25,2.5,2.5,2.35,2.5,2.5,2.45,2.5,2.5,2.55,2.5,2.5,2.65,2.5,2.5,2.75,2.5,2.5,2.85,2.5,2.5,room10x10x10_rt60_2.8_mics_8_az_180_el_15,48000,10.0,10.0,10.0,2.8,,0.5681483474218634,2.5000000000000004,3.0176380902050415,2.5,2.5,2.5,2.5,2.5,2.5,x,2.0,180.0,180,15.0,8,8,0.1,rir_room10x10x10_rt60_2.8_mics_8_az_180_el_15,180,,40,,array_avg_adj_pairs,cc,110.35292000885167,180.0,-69.64707999114833,,,,,
2.15,2.5,2.5,2.25,2.5,2.5,2.35,2.5,2.5,2.45,2.5,2.5,2.55,2.5,2.5,2.65,2.5,2.5,2.75,2.5,2.5,2.85,2.5,2.5,room10x10x10_rt60_2.8_mics_8_az_180_el_15,48000,10.0,10.0,10.0,2.8,,0.5681483474218634,2.5000000000000004,3.0176380902050415,2.5,2.5,2.5,2.5,2.5,2.5,x,2.0,180.0,180,15.0,8,8,0.1,rir_room10x10x10_rt60_2.8_mics_8_az_180_el_15,180,,40,,array_avg_adj_pairs,phat,0.0,180.0,-180.0,,,,,
2.15,2.5,2.5,2.25,2.5,2.5,2.35,2.5,2.5,2.45,2.5,2.5,2.55,2.5,2.5,2.65,2.5,2.5,2.75,2.5,2.5,2.85,2.5,2.5,room10x10x10_rt60_2.8_mics_8_az_180_el_15,48000,10.0,10.0,10.0,2.8,,0.5681483474218634,2.5000000000000004,3.0176380902050415,2.5,2.5,2.5,2.5,2.5,2.5,x,2.0,180.0,180,15.0,8,8,0.1,rir_room10x10x10_rt60_2.8_mics_8_az_180_el_15,180,,40,,array_avg_adj_pairs,scot,0.0,180.0,-180.0,,,,,
2.15,2.5,2.5,2.25,2.5,2.5,2.35,2.5,2.5,2.45,2.5,2.5,2.55,2.5,2.5,2.65,2.5,2.5,2.75,2.5,2.5,2.85,2.5,2.5,room10x10x10_rt60_2.8_mics_8_az_180_el_15,48000,10.0,10.0,10.0,2.8,,0.5681483474218634,2.5000000000000004,3.0176380902050415,2.5,2.5,2.5,2.5,2.5,2.5,x,2.0,180.0,180,15.0,8,8,0.1,rir_room10x10x10_rt60_2.8_mics_8_az_180_el_15,180,,40,,array_avg_adj_pairs,ml,0.0,180.0,-180.0,,,,,
